x,y,total_attenuation_dB
10,23.0,68.6
10,24.0,68.6
10,25.0,68.5
10,26.0,68.5
10,27.0,68.4
10,28.0,68.4
10,29.0,68.4
10,30.0,68.3
10,31.0,68.3
10,32.0,68.2
10,33.0,68.2
10,34.0,68.2
10,35.0,68.2
10,36.0,68.1
10,37.0,68.1
10,38.0,68.1
10,39.0,68.1
10,40.0,68.0
10,41.0,68.0
10,42.0,68.0
10,43.0,68.0
10,44.0,68.0
10,45.0,68.0
10,46.0,67.9
10,47.0,67.9
10,48.0,67.9
10,49.0,77.9
10,50.0,77.9
10,51.0,77.9
10,52.0,67.9
10,53.0,67.9
10,54.0,67.9
10,55.0,73.0
10,56.0,73.0
10,57.0,73.0
10,58.0,73.0
10,59.0,68.0
10,60.0,68.0
10,61.0,68.1
10,62.0,68.1
10,63.0,68.1
10,64.0,68.1
10,65.0,68.2
10,66.0,68.2
10,67.0,68.2
10,68.0,68.2
10,69.0,68.3
10,70.0,68.3
10,71.0,68.4
10,72.0,68.4
10,73.0,68.4
10,74.0,68.5
10,75.0,68.5
10,76.0,68.6
10,77.0,68.6
10,78.0,68.7
10,79.0,68.7
10,80.0,68.8
10,81.0,68.8
10,82.0,68.9
10,83.0,68.9
10,84.0,69.0
10,85.0,69.0
10,86.0,69.1
10,87.0,69.1
10,88.0,69.2
10,89.0,69.3
10,90.0,69.3
10,91.0,69.4
10,92.0,69.4
10,93.0,69.5
10,94.0,69.6
10,95.0,69.6
10,96.0,69.7
10,97.0,69.8
10,98.0,69.8
10,99.0,69.9
11,0.0,69.9
11,1.0,74.8
11,2.0,74.7
11,3.0,74.7
11,4.0,69.6
11,5.0,69.5
11,6.0,74.5
11,7.0,74.4
11,8.0,74.3
11,9.0,69.3
11,10.0,69.2
11,11.0,69.2
11,12.0,69.1
11,13.0,69.0
11,14.0,69.0
11,15.0,68.9
11,16.0,68.9
11,17.0,68.8
11,18.0,68.8
11,19.0,68.7
11,20.0,68.7
11,21.0,68.6
11,22.0,68.6
11,23.0,68.5
11,24.0,68.5
11,25.0,68.4
11,26.0,68.4
11,27.0,68.3
11,28.0,68.3
11,29.0,68.2
11,30.0,68.2
11,31.0,68.2
11,32.0,68.1
11,33.0,68.1
11,34.0,68.1
11,35.0,68.0
11,36.0,68.0
11,37.0,68.0
11,38.0,67.9
11,39.0,67.9
11,40.0,67.9
11,41.0,67.9
11,42.0,67.9
11,43.0,67.8
11,44.0,67.8
11,45.0,67.8
11,46.0,67.8
11,47.0,67.8
11,48.0,67.8
11,49.0,77.8
11,50.0,77.8
11,51.0,77.8
11,52.0,67.8
11,53.0,67.8
11,54.0,67.8
11,55.0,72.8
11,56.0,72.8
11,57.0,72.8
11,58.0,67.9
11,59.0,67.9
11,60.0,67.9
11,61.0,67.9
11,62.0,67.9
11,63.0,68.0
11,64.0,68.0
11,65.0,68.0
11,66.0,68.1
11,67.0,68.1
11,68.0,68.1
11,69.0,68.2
11,70.0,68.2
11,71.0,68.2
11,72.0,68.3
11,73.0,68.3
11,74.0,68.4
11,75.0,68.4
11,76.0,68.5
11,77.0,68.5
11,78.0,68.6
11,79.0,68.6
11,80.0,68.7
11,81.0,68.7
11,82.0,68.8
11,83.0,68.8
11,84.0,68.9
11,85.0,68.9
11,86.0,69.0
11,87.0,69.0
11,88.0,69.1
11,89.0,69.2
11,90.0,69.2
11,91.0,69.3
11,92.0,69.3
11,93.0,69.4
11,94.0,69.5
11,95.0,69.5
11,96.0,69.6
11,97.0,69.7
11,98.0,69.7
11,99.0,69.8
12,0.0,69.8
12,1.0,74.7
12,2.0,74.6
12,3.0,74.6
12,4.0,74.5
12,5.0,69.4
12,6.0,69.4
12,7.0,74.3
12,8.0,74.3
12,9.0,69.2
12,10.0,69.1
12,11.0,69.1
12,12.0,69.0
12,13.0,68.9
12,14.0,68.9
12,15.0,68.8
12,16.0,68.8
12,17.0,68.7
12,18.0,68.7
12,19.0,68.6
12,20.0,68.5
12,21.0,68.5
12,22.0,68.4
12,23.0,68.4
12,24.0,68.3
12,25.0,68.3
12,26.0,68.2
12,27.0,68.2
12,28.0,68.2
12,29.0,68.1
12,30.0,68.1
12,31.0,68.0
12,32.0,68.0
12,33.0,68.0
12,34.0,67.9
12,35.0,67.9
12,36.0,67.9
12,37.0,67.8
12,38.0,67.8
12,39.0,67.8
12,40.0,67.8
12,41.0,67.7
12,42.0,67.7
12,43.0,67.7
12,44.0,67.7
12,45.0,67.7
12,46.0,67.7
12,47.0,67.7
12,48.0,67.7
12,49.0,77.7
12,50.0,77.7
12,51.0,77.7
12,52.0,67.7
12,53.0,67.7
12,54.0,67.7
12,55.0,72.7
12,56.0,72.7
12,57.0,72.7
12,58.0,67.7
12,59.0,67.7
12,60.0,67.8
12,61.0,67.8
12,62.0,67.8
12,63.0,67.8
12,64.0,67.9
12,65.0,67.9
12,66.0,67.9
12,67.0,68.0
12,68.0,68.0
12,69.0,68.0
12,70.0,68.1
12,71.0,68.1
12,72.0,68.2
12,73.0,68.2
12,74.0,68.2
12,75.0,68.3
12,76.0,68.3
12,77.0,68.4
12,78.0,68.4
12,79.0,68.5
12,80.0,68.5
12,81.0,68.6
12,82.0,68.7
12,83.0,68.7
12,84.0,68.8
12,85.0,68.8
12,86.0,68.9
12,87.0,68.9
12,88.0,69.0
12,89.0,69.1
12,90.0,69.1
12,91.0,69.2
12,92.0,69.3
12,93.0,69.3
12,94.0,69.4
12,95.0,69.4
12,96.0,69.5
12,97.0,69.6
12,98.0,69.6
12,99.0,69.7
13,0.0,69.7
13,1.0,69.6
13,2.0,74.6
13,3.0,74.5
13,4.0,74.4
13,5.0,74.4
13,6.0,69.3
13,7.0,74.2
13,8.0,74.2
13,9.0,74.1
13,10.0,69.0
13,11.0,69.0
13,12.0,68.9
13,13.0,68.8
13,14.0,68.8
13,15.0,68.7
13,16.0,68.7
13,17.0,68.6
13,18.0,68.5
13,19.0,68.5
13,20.0,68.4
13,21.0,68.4
13,22.0,68.3
13,23.0,68.3
13,24.0,68.2
13,25.0,68.2
13,26.0,68.1
13,27.0,68.1
13,28.0,68.0
13,29.0,68.0
13,30.0,67.9
13,31.0,67.9
13,32.0,67.9
13,33.0,67.8
13,34.0,67.8
